player,season,playoffs,Game_Type_Regular_Tot,Game_Type_Playoffs_Tot,Shot_Made,Total_Game_Played,Total_FT_Made,Total_FTA,FT_Pct,Game_Type
A.J. Price,2009 - 2010,regular,75,0,60,30,60,75,0.8,regular
A.J. Price,2010 - 2011,regular,81,0,54,32,54,81,0.667,regular
A.J. Price,2011 - 2012,regular,35,0,28,14,28,35,0.8,regular
A.J. Price,2012 - 2013,regular,62,0,49,21,49,62,0.79,regular
Aaron Brooks,2007 - 2008,regular,49,0,42,20,42,49,0.857,regular
Aaron Brooks,2008 - 2009,regular,172,0,149,54,149,172,0.866,regular
Aaron Brooks,2009 - 2010,regular,298,0,245,75,245,298,0.822,regular
Aaron Brooks,2010 - 2011,regular,140,0,124,43,124,140,0.886,regular
Aaron Brooks,2012 - 2013,regular,50,0,39,22,39,50,0.78,regular
Aaron Brooks,2013 - 2014,regular,95,0,83,34,83,95,0.874,regular
Aaron Brooks,2014 - 2015,regular,174,0,145,54,145,174,0.833,regular
Aaron Brooks,2015 - 2016,regular,62,0,48,23,48,62,0.774,regular
Aaron Gordon,2014 - 2015,regular,61,0,44,26,44,61,0.721,regular
Aaron Gordon,2015 - 2016,regular,193,0,129,52,129,193,0.668,regular
Aaron Gray,2007 - 2008,regular,99,0,56,35,56,99,0.566,regular
Aaron Gray,2008 - 2009,regular,59,0,34,25,34,59,0.576,regular
Aaron Gray,2009 - 2010,regular,28,0,20,12,20,28,0.714,regular
Aaron Gray,2010 - 2011,regular,34,0,17,14,17,34,0.5,regular
Aaron Gray,2011 - 2012,regular,47,0,25,21,25,47,0.532,regular
Aaron Gray,2012 - 2013,regular,44,0,23,17,23,44,0.523,regular
Acie Law,2007 - 2008,regular,45,0,35,17,35,45,0.778,regular
Acie Law,2008 - 2009,regular,60,0,49,20,49,60,0.817,regular
Acie Law,2009 - 2010,regular,49,0,38,16,38,49,0.776,regular
Acie Law,2010 - 2011,regular,64,0,47,21,47,64,0.734,regular
Adam Morrison,2006 - 2007,regular,166,0,119,47,119,166,0.717,regular
Adonal Foyle,2006 - 2007,regular,25,0,11,12,11,25,0.44,regular
Adonal Foyle,2007 - 2008,regular,34,0,16,12,16,34,0.471,regular
Adreian Payne,2014 - 2015,regular,46,0,30,15,30,46,0.652,regular
Al Harrington,2006 - 2007,regular,242,0,168,65,168,242,0.694,regular
Al Harrington,2007 - 2008,regular,189,0,147,57,147,189,0.778,regular
Al Harrington,2008 - 2009,regular,295,0,234,60,234,295,0.793,regular
Al Harrington,2009 - 2010,regular,317,0,240,65,240,317,0.757,regular
Al Harrington,2010 - 2011,regular,117,0,86,40,86,117,0.735,regular
Al Harrington,2011 - 2012,regular,176,0,119,51,119,176,0.676,regular
Al Harrington,2013 - 2014,regular,35,0,27,14,27,35,0.771,regular
Al Horford,2007 - 2008,regular,209,0,152,62,152,209,0.727,regular
Al Horford,2008 - 2009,regular,205,0,149,57,149,205,0.727,regular
Al Horford,2009 - 2010,regular,271,0,213,69,213,271,0.786,regular
Al Horford,2010 - 2011,regular,188,0,150,53,150,188,0.798,regular
Al Horford,2012 - 2013,regular,208,0,134,61,134,208,0.644,regular
Al Horford,2013 - 2014,regular,85,0,58,24,58,85,0.682,regular
Al Horford,2014 - 2015,regular,141,0,107,46,107,141,0.759,regular
Al Horford,2015 - 2016,regular,129,0,103,47,103,129,0.798,regular
Al Jefferson,2006 - 2007,regular,295,0,201,63,201,295,0.681,regular
Al Jefferson,2007 - 2008,regular,394,0,284,74,284,394,0.721,regular
Al Jefferson,2008 - 2009,regular,252,0,186,48,186,252,0.738,regular
Al Jefferson,2009 - 2010,regular,266,0,181,65,181,266,0.68,regular
Al Jefferson,2010 - 2011,regular,287,0,218,71,218,287,0.76,regular
Al Jefferson,2011 - 2012,regular,177,0,137,52,137,177,0.774,regular
Al Jefferson,2012 - 2013,regular,217,0,167,61,167,217,0.77,regular
Al Jefferson,2013 - 2014,regular,277,0,191,63,191,277,0.69,regular
Al Jefferson,2014 - 2015,regular,165,0,108,44,108,165,0.655,regular
Al Jefferson,2015 - 2016,regular,111,0,72,35,72,111,0.649,regular
Al Thornton,2007 - 2008,regular,287,0,214,60,214,287,0.746,regular
Al Thornton,2008 - 2009,regular,313,0,236,62,236,313,0.754,regular
Al Thornton,2009 - 2010,regular,210,0,153,50,153,210,0.729,regular
Al Thornton,2010 - 2011,regular,142,0,110,39,110,142,0.775,regular
Al-Farouq Aminu,2010 - 2011,regular,118,0,92,46,92,118,0.78,regular
Al-Farouq Aminu,2011 - 2012,regular,114,0,86,39,86,114,0.754,regular
Al-Farouq Aminu,2012 - 2013,regular,137,0,101,44,101,137,0.737,regular
Al-Farouq Aminu,2013 - 2014,regular,137,0,91,46,91,137,0.664,regular
Al-Farouq Aminu,2014 - 2015,regular,118,0,84,41,84,118,0.712,regular
Al-Farouq Aminu,2015 - 2016,regular,156,0,115,57,115,156,0.737,regular
Alan Anderson,2011 - 2012,regular,34,0,29,12,29,34,0.853,regular
Alan Anderson,2012 - 2013,regular,147,0,126,42,126,147,0.857,regular
Alan Anderson,2013 - 2014,regular,118,0,92,39,92,118,0.78,regular
Alan Anderson,2014 - 2015,regular,101,0,82,38,82,101,0.812,regular
Alan Henderson,2006 - 2007,regular,47,0,33,19,33,47,0.702,regular
Alando Tucker,2008 - 2009,regular,33,0,26,11,26,33,0.788,regular
Alec Burks,2011 - 2012,regular,143,0,104,36,104,143,0.727,regular
Alec Burks,2012 - 2013,regular,129,0,92,40,92,129,0.713,regular
Alec Burks,2013 - 2014,regular,373,0,279,73,279,373,0.748,regular
Alec Burks,2014 - 2015,regular,129,0,106,26,106,129,0.822,regular
Alec Burks,2015 - 2016,regular,141,0,106,28,106,141,0.752,regular
Alex Len,2013 - 2014,regular,31,0,20,12,20,31,0.645,regular
Alex Len,2014 - 2015,regular,104,0,73,35,73,104,0.702,regular
Alex Len,2015 - 2016,regular,239,0,174,56,174,239,0.728,regular
Alexander Johnson,2006 - 2007,regular,116,0,76,31,76,116,0.655,regular
Alexander Johnson,2007 - 2008,regular,83,0,57,27,57,83,0.687,regular
Alexey Shved,2012 - 2013,regular,149,0,107,50,107,149,0.718,regular
Alexey Shved,2013 - 2014,regular,89,0,67,30,67,89,0.753,regular
Alexey Shved,2014 - 2015,regular,141,0,114,33,114,141,0.809,regular
Alexis Ajinca,2008 - 2009,regular,28,0,20,11,20,28,0.714,regular
Alexis Ajinca,2013 - 2014,regular,67,0,56,23,56,67,0.836,regular
Alexis Ajinca,2014 - 2015,regular,99,0,81,33,81,99,0.818,regular
Alexis Ajinca,2015 - 2016,regular,62,0,52,23,52,62,0.839,regular
Allan Ray,2006 - 2007,regular,52,0,40,18,40,52,0.769,regular
Allen Crabbe,2015 - 2016,regular,113,0,98,40,98,113,0.867,regular
Allen Iverson,2006 - 2007,regular,610,0,485,64,485,610,0.795,regular
Allen Iverson,2007 - 2008,regular,789,0,641,81,641,789,0.812,regular
Allen Iverson,2008 - 2009,regular,347,0,271,55,271,347,0.781,regular
Allen Iverson,2009 - 2010,regular,131,0,104,24,104,131,0.794,regular
